Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Municipality,Address,Facility Name,Categories,Historical Information,Url
Strathcona Rythmic Gymnastic Club (Strathcona Baptist Girls Grammar),Canterbury,-37.830765,145.079477,Gymnastics,,,,,Boroondara,34 Scott Street Canterbury 3126,,"['Boroondara', 'Canterbury', 'Sports', 'Gymnastics']",,
Hawthorn - Malvern Hockey Centre,Hawthorn,-37.839985999999996,145.040868,Hockey,2.0,Artificial Turf,,,Boroondara,Auburn Road Hawthorn 3122,,"['Boroondara', 'Hawthorn', 'Sports', 'Hockey']",,
Matlock Reserve,Canterbury,-37.828345,145.072195,Hockey,1.0,Grass,3. Average,Unisex,Boroondara,Matlock Street Canterbury 3126,,"['Boroondara', 'Canterbury', 'Sports', 'Hockey']",,
Ashburton Bowls Club,Ashburton,-37.865266,145.08541100000002,Lawn Bowls,2.0,Grass,3. Average,"Female, Male",Boroondara,Samarinda Avenue Ashburton 3147,,"['Boroondara', 'Ashburton', 'Sports']",,
Auburn Bowls Club,Hawthorn East,-37.827119,145.046559,Lawn Bowls,2.0,Artificial Turf,,,Boroondara,Munro Street Hawthorn East 3123,,"['Boroondara', 'Hawthorn East', 'Sports']",,
Burwood District Bowls Club,Burwood,-37.855233,145.093555,Lawn Bowls,2.0,Grass,3. Average,"Female, Male",Boroondara,Warrigal Road Burwood 3125,,"['Boroondara', 'Burwood', 'Sports']",,
Camberwell Central Bowls Club,Camberwell,-37.839001,145.062814,Lawn Bowls,2.0,Grass,3. Average,"Female, Male",Boroondara,1 Bowen Street Camberwell 3124,,"['Boroondara', 'Camberwell', 'Sports']",,
Hawthorn Bowling Club,Hawthorn,-37.819439,145.019059,Lawn Bowls,2.0,Grass,2. Poor,,Boroondara,1 Wood Street Hawthorn 3122,,"['Boroondara', 'Hawthorn', 'Sports']",,
Kew Heights Sports Club,Kew,-37.816157000000004,145.052962,Lawn Bowls,3.0,Grass,,,Boroondara,397 Barkers Road Kew 3101,,"['Boroondara', 'Kew', 'Sports']",,
Melbourne Cricket Club Bowls Club,Hawthorn,-37.82542,145.037305,Lawn Bowls,2.0,Grass,3. Average,,Boroondara,Swinburne Avenue Hawthorn 3122,,"['Boroondara', 'Hawthorn', 'Sports']",,
North Balwyn Bowls Club,Balwyn North,-37.799894,145.07574,Lawn Bowls,3.0,Artificial Turf,3. Average,"Female, Male",Boroondara,60 Buchanan Avenue Balwyn North 3104,,"['Boroondara', 'Balwyn North', 'Sports']",,
Club Hawthorn,Hawthorn,-37.823253,145.035002,Snooker / Billiards / Pool,2.0,,4. Good,"Female, Male",Boroondara,627 Glenferrie Road Hawthorn 3122,,"['Boroondara', 'Hawthorn', 'Sports', 'Snooker']",,
H.A. Smith Reserve,Hawthorn,-37.836571,145.03496299999998,Soccer,2.0,,1. Very Poor,"Umpire/Officials, Unisex",Boroondara,Reserve Road Hawthorn 3122,,"['Boroondara', 'Hawthorn', 'Sports', 'Soccer']",,
Boroondara Tennis Centre,Balwyn North,-37.779069,145.079937,Tennis (Outdoor),23.0,,5. Very Good,"Female, Male",Boroondara,Thompson Road Balwyn North 3104,,"['Boroondara', 'Balwyn North', 'Sports', 'Tennis']",,
Hawthorn Tennis Club,Hawthorn,-37.825334999999995,145.036114,Tennis (Outdoor),7.0,Clay,3. Average,"Female, Male",Boroondara,13 Swinburne Avenue Hawthorn 3122,,"['Boroondara', 'Hawthorn', 'Sports', 'Tennis']",,
Kew East Catholic Tennis Club,Kew East,-37.791588,145.057029,Tennis (Outdoor),7.0,,,,Boroondara,Leason Street Kew East 3102,,"['Boroondara', 'Kew East', 'Sports', 'Tennis']",,
North Balwyn Tennis Club,Balwyn North,-37.799372999999996,145.078155,Tennis (Outdoor),8.0,Clay,3. Average,"Female, Male",Boroondara,Buchanan Avenue Balwyn North 3104,,"['Boroondara', 'Balwyn North', 'Sports', 'Tennis']",,
Carey Gymnastics Club,Bulleen,-37.776967,145.078705,Gymnastics,,,,,Boroondara,169 Bulleen Road Bulleen 3101,,"['Boroondara', 'Bulleen', 'Sports', 'Gymnastics']",,
Fernwood - Carlton,Carlton,-37.795584000000005,144.974952,Fitness / Gymnasium Workouts,,,,,Melbourne,193-197 Nicholson Street Carlton 3053,,"['Melbourne', 'Carlton', 'Sports', 'Gymnasium']",,
Fernwood Carlton,Carlton,-37.795621000000004,144.975108,Fitness / Gymnasium Workouts,1.0,,,,Melbourne,197 Nicholson Street Carlton 3053,,"['Melbourne', 'Carlton', 'Sports', 'Gymnasium']",,
Lifestyle Fitness Centre,Richmond,-37.809924,144.96706799999998,Fitness / Gymnasium Workouts,1.0,,,,Melbourne,401 Church Street Richmond 3121,,"['Melbourne', 'Richmond', 'Sports', 'Gymnasium']",,
Princess Hill Primary School,Princes Hill,-37.780992,144.962781,Soccer (Indoor Soccer / Futsal),1.0,,,,Melbourne,Pigdon Street Princes Hill,,"['Melbourne', 'Princes Hill', 'Sports', 'Soccer']",,
LifeStyle Fitness Centre,Forest Hill,-37.809924,144.96706799999998,Fitness / Gymnasium Workouts,1.0,,,,Melbourne,79 Mahoneys Road Forest Hill 3131,,"['Melbourne', 'Forest Hill', 'Sports', 'Gymnasium']",,
Terry Bennett Fitness Centre,Prahran,-37.850667,144.984201,Fitness / Gymnasium Workouts,1.0,,4. Good,"Female, Male",Melbourne,1/227 High Street Prahran 3181,,"['Melbourne', 'Prahran', 'Sports', 'Gymnasium']",,
Etihad,Melbourne,-37.816542999999996,144.947118,Australian Rules Football,1.0,Grass,,,Melbourne,Bourke Street Melbourne,,"['Melbourne', 'Melbourne', 'Sports', 'Football']",,
Fawkner Park,South Yarra,-37.8404,144.981583,Australian Rules Football,2.0,Grass,4. Good,"Umpire/Officials, Unisex",Melbourne,Pasley Street North South Yarra,,"['Melbourne', 'South Yarra', 'Sports', 'Football']",,
Goschs Paddock,Richmond,-37.825859,144.986675,Australian Rules Football,,Grass,,,Melbourne,Punt Road Richmond,,"['Melbourne', 'Richmond', 'Sports', 'Football']",,
JJ Holland Park,South Kensington,-37.797812,144.924151,Australian Rules Football,1.0,Artificial Turf,5. Very Good,"Female, Male, Umpire/Officials",Melbourne,Kensington Road South Kensington,,"['Melbourne', 'South Kensington', 'Sports', 'Football']",,
MCG,Richmond,-37.820175,144.98277,Australian Rules Football,1.0,Grass,,,Melbourne,Brunton Avenue Richmond,,"['Melbourne', 'Richmond', 'Sports', 'Football']",,
North Melbourne Football Ground,North Melbourne,-37.799036,144.941247,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Melbourne,Arden Street North Melbourne,,"['Melbourne', 'North Melbourne', 'Sports', 'Football']",,
Princes Park,Parkville,-37.785105,144.960662,Australian Rules Football,2.0,Grass,3. Average,"Female, Male, Umpire/Officials",Melbourne,Royal Parade Parkville,,"['Melbourne', 'Parkville', 'Sports', 'Football']",,
Punt rd Recreation Reserve & Community Pool,Richmond,-37.822303999999995,144.987903,Australian Rules Football,1.0,Grass,,,Melbourne,Punt Road Richmond,,"['Melbourne', 'Richmond', 'Sports', 'Football']",,
Royal Park,Parkville,-37.783169,144.949402,Australian Rules Football,4.0,Grass,4. Good,"Umpire/Officials, Unisex",Melbourne,Macarthur Road Parkville,,"['Melbourne', 'Parkville', 'Sports', 'Football']",,
Visy Park,Parkville,-37.785105,144.960662,Australian Rules Football,1.0,Grass,4. Good,"Female, Male, Umpire/Officials",Melbourne,Royal Parade Parkville,,"['Melbourne', 'Parkville', 'Sports', 'Football']",,
Carlton Baths Community Centre,Carlton,-37.792875,144.969005,Badminton,,,,,Melbourne,248 Rathdowne Street Carlton,,"['Melbourne', 'Carlton', 'Sports', 'Badminton']",,
Kensington Community Recreation Centre,Kensington,-37.796186999999996,144.924603,Basketball,1.0,Wooden Gymnasium,3. Average,"Female, Male",Melbourne,Altona Street Kensington,,"['Melbourne', 'Kensington', 'Sports', 'Basketball']",,
North Melbourne Community Centre,North Melbourne,-37.793231,144.939922,Basketball,,Wooden Gymnasium,1. Very Poor,"Female, Male",Melbourne,53 Buncle Street North Melbourne,,"['Melbourne', 'North Melbourne', 'Sports', 'Basketball']",,
North Melbourne Recreation Centre,North Melbourne,-37.799291,144.941973,Basketball,1.0,Wooden Gymnasium,5. Very Good,"Female, Male, Umpire/Officials",Melbourne,206 Arden Street North Melbourne,,"['Melbourne', 'North Melbourne', 'Sports', 'Basketball']",,
State Netball & Hockey Centre,Parkville,-37.783169,144.949402,Basketball,1.0,Wooden Gymnasium,,,Melbourne,Brens Drive Parkville,,"['Melbourne', 'Parkville', 'Sports', 'Basketball']",,
Kings Domain,South Yarra,-37.83272,144.975563,Cricket,1.0,Turf Pitch,3. Average,Unisex,Melbourne,Domain Road South Yarra,,"['Melbourne', 'South Yarra', 'Sports', 'Cricket']",,
Newmarket Reserve,Flemington,-37.788140999999996,144.923465,Cricket,1.0,Turf Pitch,2. Poor,"Female, Male",Melbourne,Smithfield Road Flemington,,"['Melbourne', 'Flemington', 'Sports', 'Cricket']",,
Melbourne Park,Melbourne,-37.821437,144.979104,Cycling,,Indoor Velodrome,,,Melbourne,Olympic Boulevard Melbourne,,"['Melbourne', 'Melbourne', 'Sports', 'Cycling']",,
Active Melbourne City Sports,Docklands,-37.81847,144.947109,Fitness / Gymnasium Workouts,1.0,,,,Melbourne,744 Bourke Street Docklands 3008,,"['Melbourne', 'Docklands', 'Sports', 'Gymnasium']",,
Beach House City Express,Melbourne,-37.809387,144.962518,Fitness / Gymnasium Workouts,1.0,,,,Melbourne,23 Little Latrobe Street Melbourne,,"['Melbourne', 'Melbourne', 'Sports', 'Gymnasium']",,
Corporate Fitness Club,Melbourne,-37.817507,144.963621,Fitness / Gymnasium Workouts,1.0,,,,Melbourne,321 Flinders Lane Melbourne 3000,,"['Melbourne', 'Melbourne', 'Sports', 'Gymnasium']",,
Equilibrium Health & Fitness,North Melbourne,-37.804412,144.949088,Fitness / Gymnasium Workouts,1.0,,,,Melbourne,23 Errol Steet North Melbourne,,"['Melbourne', 'North Melbourne', 'Sports', 'Gymnasium']",,
Fernwood Women's Health Club,Melbourne,-37.81923,144.958126,Fitness / Gymnasium Workouts,1.0,,,,Melbourne,475 Flinders Lane Melbourne 3000,,"['Melbourne', 'Melbourne', 'Sports', 'Gymnasium']",,
Fitness First Melbourne CBD Bourke St,Melbourne,-37.814465999999996,144.96356,Fitness / Gymnasium Workouts,,,,,Melbourne,341-345 Bourke Street Melbourne 3000,,"['Melbourne', 'Melbourne', 'Sports', 'Gymnasium']",,
Fitness First Melbourne Central,Melbourne,-37.810916999999996,144.962776,Fitness / Gymnasium Workouts,1.0,,,,Melbourne,211 Latrobe Street Melbourne,,"['Melbourne', 'Melbourne', 'Sports', 'Gymnasium']",,
Fitness First QV Platinum,Melbourne,-37.809845,144.966508,Fitness / Gymnasium Workouts,1.0,,,,Melbourne,Lonsdale Street Melbourne,,"['Melbourne', 'Melbourne', 'Sports', 'Gymnasium']",,
Genesis Flinders st,Melbourne,-37.819174,144.95846699999998,Fitness / Gymnasium Workouts,1.0,,,,Melbourne,452 Flinders Street Melbourne 3001,,"['Melbourne', 'Melbourne', 'Sports', 'Gymnasium']",,
Genesis Southbank,Southbank,-37.822309000000004,144.961934,Fitness / Gymnasium Workouts,1.0,,,,Melbourne,4 Freshwater Place Southbank 3006,,"['Melbourne', 'Southbank', 'Sports', 'Gymnasium']",,
Gensis Fitness,Melbourne,-37.809457,144.971145,Fitness / Gymnasium Workouts,1.0,,,,Melbourne,50 Lonsdale Street Melbourne,,"['Melbourne', 'Melbourne', 'Sports', 'Gymnasium']",,
Ladyworks Fitness Club,Melbourne,-37.809584,144.961729,Fitness / Gymnasium Workouts,1.0,,,,Melbourne,23 Little Latrobe Street Melbourne,,"['Melbourne', 'Melbourne', 'Sports', 'Gymnasium']",,
Melbourne City Baths,Melbourne,-37.807035,144.963103,Fitness / Gymnasium Workouts,,,5. Very Good,"Female, Male",Melbourne,420 Swanston Street Melbourne,,"['Melbourne', 'Melbourne', 'Sports', 'Gymnasium']",,
Metrobody Health & Fitness,Melbourne,-37.809151,144.925364,Fitness / Gymnasium Workouts,1.0,,,,Melbourne,29 Summerset Place Melbourne,,"['Melbourne', 'Melbourne', 'Sports', 'Gymnasium']",,
RMIT Union Fitness Centre,Melbourne,-37.806609,144.962454,Fitness / Gymnasium Workouts,1.0,,,,Melbourne,Swanston Street Melbourne,,"['Melbourne', 'Melbourne', 'Sports', 'Gymnasium']",,
South Pacific Health Club Melbourne CBD,Melbourne,-37.815667,144.957512,Fitness / Gymnasium Workouts,,,,,Melbourne,550 Bourke Street Melbourne 3000,,"['Melbourne', 'Melbourne', 'Sports', 'Gymnasium']",,
TKO Fitness,West Melbourne,-37.807536999999996,144.946833,Fitness / Gymnasium Workouts,1.0,,,,Melbourne,99 Hawke Street West Melbourne,,"['Melbourne', 'West Melbourne', 'Sports', 'Gymnasium']",,
Westpac Centre,Melbourne,-37.824674,144.981926,Fitness / Gymnasium Workouts,,,,,Melbourne,Olympic Boulevard Melbourne,,"['Melbourne', 'Melbourne', 'Sports', 'Gymnasium']",,
YMCA Docklands,Southbank,-37.825312,144.965295,Fitness / Gymnasium Workouts,2.0,,5. Very Good,"Female, Male",Melbourne,100 Habour Esplanade Southbank,,"['Melbourne', 'Southbank', 'Sports', 'Gymnasium']",,
Wesley Lions Gymnastics,Melbourne,-37.818721000000004,144.96802399999999,Gymnastics,,,,,Melbourne,577 St Kilda Road Melbourne 3181,,"['Melbourne', 'Melbourne', 'Sports', 'Gymnastics']",,
Beaurepaire Hockey Field,Carlton,-37.795471,144.961432,Hockey,1.0,Artificial Turf,,,Melbourne,Tin Alley Carlton 3053,,"['Melbourne', 'Carlton', 'Sports', 'Hockey']",,
City of Melbourne Bowls Club,Melbourne,-37.809912,144.95443,Lawn Bowls,1.0,Grass,5. Very Good,"Female, Male",Melbourne,William Street Melbourne,,"['Melbourne', 'Melbourne', 'Sports']",,
Melbourne Martial Arts Academy,Melbourne,-37.817225,144.96822,Martial Arts,1.0,,,,Melbourne,367 Flinders Street Melbourne,,"['Melbourne', 'Melbourne', 'Sports', 'Martial Arts']",,
Flagstaff Gardens,Melbourne,-37.809912,144.95443,Netball,2.0,Synthetic,2. Poor,,Melbourne,William Street Melbourne,,"['Melbourne', 'Melbourne', 'Sports', 'Netball']",,
AAMI Park,Melbourne,-37.824674,144.981926,Rugby League,1.0,Grass,,,Melbourne,Olympic Boulevard Melbourne,,"['Melbourne', 'Melbourne', 'Sports', 'Rugby']",,
Docklands Yacht Club,Docklands,-37.820415000000004,144.937261,Sailing,,,,,Melbourne,North Wharf Road Docklands 3008,,"['Melbourne', 'Docklands', 'Sports', 'Sailing']",,
Melbourne International Shooting Club,Port Melbourne,-37.8295,144.913757,Shooting Sports,,,,,Melbourne,Todd Road Port Melbourne 3207,,"['Melbourne', 'Port Melbourne', 'Sports', 'Shooting']",,
Carlton Gardens Tennis Club,Melbourne,-37.802325,144.97286,Tennis (Outdoor),4.0,Artificial Turf,4. Good,"Female, Male",Melbourne,11 Nicholson Street Melbourne,,"['Melbourne', 'Melbourne', 'Sports', 'Tennis']",,
Kensington Banks Tennis Club,Kensington,-37.794534000000006,144.915836,Tennis (Outdoor),3.0,Artificial Turf,3. Average,,Melbourne,Speakman Street Kensington,,"['Melbourne', 'Kensington', 'Sports', 'Tennis']",,
Goodlife Health Club,Fitzroy,-37.973309,145.119814,Fitness / Gymnasium Workouts,,,,,Kingston,41 Johnson Street Fitzroy 3065,,"['Kingston', 'Fitzroy', 'Sports', 'Gymnasium']",,
CoreWorks,Highett,-37.954188,145.052097,Fitness / Gymnasium Workouts,1.0,,,,Kingston,2 Maher Street Highett 3190,,"['Kingston', 'Highett', 'Sports', 'Gymnasium']",,
Fernwood Southland,Cheltenham,-37.961717,145.055608,Fitness / Gymnasium Workouts,1.0,,,,Kingston,1261 Nepean Hwy Cheltenham 3192,,"['Kingston', 'Cheltenham', 'Sports', 'Gymnasium']",,
Fit To Go,Cheltenham,-37.950317999999996,145.05963300000002,Fitness / Gymnasium Workouts,1.0,,,,Kingston,148 Chesterville Road Cheltenham 3192,,"['Kingston', 'Cheltenham', 'Sports', 'Gymnasium']",,
Push it Fitness & Health,Cheltenham,-37.968661,145.0553,Fitness / Gymnasium Workouts,1.0,,,,Kingston,258 Charman Road Cheltenham 3192,,"['Kingston', 'Cheltenham', 'Sports', 'Gymnasium']",,
Strides Ahead,Highett,-37.949307,145.045373,Fitness / Gymnasium Workouts,1.0,,,,Kingston,376 Highett Road Highett 3190,,"['Kingston', 'Highett', 'Sports', 'Gymnasium']",,
Highett Reserve,Highett,-37.951004,145.055651,Archery,1.0,Outdoor Archery,3. Average,,Kingston,Turner Road Highett 3190,,"['Kingston', 'Highett', 'Sports']",,
Dolomore Reserve,Mentone,-37.983995,145.073156,Athletics,1.0,Synthetic Running Track,1. Very Poor,,Kingston,First Street Mentone 3194,,"['Kingston', 'Mentone', 'Sports', 'Athletics']",,
Edithvale Recreation Reserve,Edithvale,-38.036144,145.11918,Athletics,1.0,Grass Running Track,,,Kingston,Edithvale Road Edithvale 3196,,"['Kingston', 'Edithvale', 'Sports', 'Athletics']",,
GR Bricker Reserve,Moorabbin,-37.941111,145.05143700000002,Athletics,1.0,,3. Average,Unisex,Kingston,Rowans Road Moorabbin 3189,,"['Kingston', 'Moorabbin', 'Sports', 'Athletics']",,
Beazley Reserve,Chelsea Heights,-38.047872999999996,145.13189599999998,Australian Rules Football,1.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Kingston,172 Thames Promenade Chelsea Heights 3196,,"['Kingston', 'Chelsea Heights', 'Sports', 'Football']",,
Ben Kavanagh Reserve,Mordialloc,-38.003569,145.091926,Australian Rules Football,1.0,Grass,2. Poor,"Male, Umpire/Officials",Kingston,McDonald Street Mordialloc 3195,,"['Kingston', 'Mordialloc', 'Sports', 'Football']",,
BonBeach Sports Reserve,Carrum,-38.061687,145.129178,Australian Rules Football,2.0,Grass,3. Average,"Male, Umpire/Officials",Kingston,Cannes Avenue Carrum 3197,,"['Kingston', 'Carrum', 'Sports', 'Football']",,
Chelsea Recreation Reserve,Chelsea,-38.049729,145.124345,Australian Rules Football,1.0,Grass,5. Very Good,,Kingston,Beardsworth Avenue Chelsea 3196,,"['Kingston', 'Chelsea', 'Sports', 'Football']",,
Dingley Reserve,Dingley Village,-37.983408000000004,145.136268,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Kingston,Marcus Road Dingley Village 3172,,"['Kingston', 'Dingley Village', 'Sports', 'Football']",,
Gerry Green Reserve,Parkdale,-37.990905,145.083236,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Kingston,Imes Street Parkdale 3194,,"['Kingston', 'Parkdale', 'Sports', 'Football']",,
Glen Street Reserve,Aspendale,-38.02203,145.102242,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Kingston,Glen Street Aspendale 3195,,"['Kingston', 'Aspendale', 'Sports', 'Football']",,
Heatherton Recreation Reserve,Heatherton,-37.968455,145.106688,Australian Rules Football,1.0,Grass,2. Poor,"Male, Umpire/Officials",Kingston,Ross Street Heatherton 3202,,"['Kingston', 'Heatherton', 'Sports', 'Football']",,
Keeley Park,Clayton South,-37.935584000000006,145.124145,Australian Rules Football,1.0,Grass,5. Very Good,"Male, Umpire/Officials",Kingston,Clarevale Street Clayton South 3169,,"['Kingston', 'Clayton South', 'Sports', 'Football']",,
Le Page Reserve,Cheltenham,-37.958721999999995,145.070778,Australian Rules Football,2.0,Grass,2. Poor,"Umpire/Officials, Unisex",Kingston,Herald Street Cheltenham 3192,,"['Kingston', 'Cheltenham', 'Sports', 'Football']",,
Memorial Oval (Edithvale Common),Chelsea Heights,-38.033044,145.119172,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Kingston,Edithvale Road Chelsea Heights 3196,,"['Kingston', 'Chelsea Heights', 'Sports', 'Football']",,
Mentone Reserve,Mentone,-37.984635,145.063141,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Kingston,Brindisi Street Mentone 3194,,"['Kingston', 'Mentone', 'Sports', 'Football']",,
Namatjira Reserve,Clayton South,-37.93217,145.111131,Australian Rules Football,1.0,Grass,2. Poor,"Male, Umpire/Officials",Kingston,Newport Road Clayton South 3169,,"['Kingston', 'Clayton South', 'Sports', 'Football']",,
Regents Park,Aspendale,-38.031779,145.108827,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Kingston,Sixth Avenue Aspendale 3195,,"['Kingston', 'Aspendale', 'Sports', 'Football']",,
Roy Dore Reserve,Carrum,-38.077356,145.133075,Australian Rules Football,2.0,Grass,3. Average,"Umpire/Officials, Unisex",Kingston,Dyson Road Carrum 3197,,"['Kingston', 'Carrum', 'Sports', 'Football']",,
Southern Road Reserve,Mentone,-37.982052,145.086253,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Kingston,Acacia Avenue Mentone 3194,,"['Kingston', 'Mentone', 'Sports', 'Football']",,
St Kilda Football Gorund,Heatherton,-37.937809,145.04340200000001,Australian Rules Football,1.0,Grass,,,Kingston,Linton Street Heatherton 3202,,"['Kingston', 'Heatherton', 'Sports', 'Football']",,
Walter Galt Reserve,Parkdale,-37.990834,145.089748,Australian Rules Football,2.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Kingston,Victoria Street Parkdale 3194,,"['Kingston', 'Parkdale', 'Sports', 'Football']",,
Bicentennial Park,Chelsea,-38.051045,145.128231,Baseball,2.0,Grass,4. Good,"Male, Umpire/Officials",Kingston,Sturdee Street Chelsea 3196,,"['Kingston', 'Chelsea', 'Sports', 'Baseball']",,
Kingston Heath Reserve,Heatherton,-37.966803000000006,145.089177,Baseball,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Kingston,Farm Road Heatherton 3202,,"['Kingston', 'Heatherton', 'Sports', 'Baseball']",,
Rowan Rd Reserve,Dingley Village,-37.982073,145.142252,Baseball,2.0,Grass,3. Average,"Male, Umpire/Officials",Kingston,Rowan Road Dingley Village 3172,,"['Kingston', 'Dingley Village', 'Sports', 'Baseball']",,
Chelsea Basketball Stadium,Carrum,-38.061687,145.129178,Basketball,2.0,Wooden Gymnasium,3. Average,"Umpire/Officials, Unisex",Kingston,Cannes Avenue Carrum 3197,,"['Kingston', 'Carrum', 'Sports', 'Basketball']",,
Mordialloc Community Centre,Mordialloc,-37.991215000000004,145.091893,Basketball,,Wooden Gymnasium,,,Kingston,Warren Road Mordialloc 3195,,"['Kingston', 'Mordialloc', 'Sports', 'Basketball']",,
Breeze Street School Reserve,Bonbeach,-38.06582,145.127713,Cricket,1.0,Synthetic Pitch,,,Kingston,Breeze Street Bonbeach 3196,,"['Kingston', 'Bonbeach', 'Sports', 'Cricket']",,
Browns Reserve,Mordialloc,-38.012406,145.100345,Cricket,1.0,Synthetic Pitch,3. Average,Unisex,Kingston,James Avenue Mordialloc 3195,,"['Kingston', 'Mordialloc', 'Sports', 'Cricket']",,
Chadwick Reserve,Dingley Village,-37.983552,145.120032,Cricket,1.0,Synthetic Pitch,2. Poor,"Male, Umpire/Officials",Kingston,100 Howard Road Dingley Village 3172,,"['Kingston', 'Dingley Village', 'Sports', 'Cricket']",,
Dane Road Reserve,Moorabbin,-37.941978999999996,145.03822,Cricket,1.0,Turf Pitch,3. Average,Male,Kingston,Dane Road Moorabbin 3189,,"['Kingston', 'Moorabbin', 'Sports', 'Cricket']",,
Doug Denyer Reserve,Mordialloc,-38.005075,145.096944,Cricket,2.0,Synthetic Pitch,4. Good,Unisex,Kingston,Crown Avenue Mordialloc 3195,,"['Kingston', 'Mordialloc', 'Sports', 'Cricket']",,
George Woods Reserve,Mordialloc,-38.009212,145.098379,Cricket,1.0,Synthetic Pitch,,,Kingston,Governor Road Mordialloc 3195,,"['Kingston', 'Mordialloc', 'Sports', 'Cricket']",,
Jack Grut Reserve,Mordialloc,-38.009212,145.098379,Cricket,1.0,Turf Pitch,2. Poor,Unisex,Kingston,Governor Road Mordialloc 3195,,"['Kingston', 'Mordialloc', 'Sports', 'Cricket']",,
Mentone Grammar Sports Ground,Keysborough,-37.99905,145.1402,Cricket,1.0,Synthetic Pitch,,,Kingston,Springvale Road Keysborough 3173,,"['Kingston', 'Keysborough', 'Sports', 'Cricket']",,
Chelsea Velodrome,Edithvale,-38.03608,145.12013100000001,Cycling,1.0,Outdoor Velodrome,,,Kingston,Edithvale Road Edithvale 3196,,"['Kingston', 'Edithvale', 'Sports', 'Cycling']",,
Lakewood Boulevard Circuit,Braeside,-38.0028,145.11778,Cycling,1.0,,,,Kingston,Endevour Way Braeside,,"['Kingston', 'Braeside', 'Sports', 'Cycling']",,
Chelsea Pony Club,Chelsea,-38.055324,145.132354,Equestrian,1.0,Grass,,,Kingston,"Edithvale-Seaford Wetlands, Tiller Lane, Patterson Lakes, City of Kingston, Victoria, 3197, Australia",,"['Kingston', 'Chelsea', 'Sports']",,
Anytime Fitness Cheltenham,Cheltenham,-37.960408,145.055455,Fitness / Gymnasium Workouts,,,,,Kingston,10 Jamieson Street Cheltenham 3192,,"['Kingston', 'Cheltenham', 'Sports', 'Gymnasium']",,
Beach House Health & Fitness Chelsea Heights,Chelsea Heights,-38.037529,145.13708300000002,Fitness / Gymnasium Workouts,,,,,Kingston,4 Ashley Park Drive Chelsea Heights 3196,,"['Kingston', 'Chelsea Heights', 'Sports', 'Gymnasium']",,
Don Tatnell Leisure Centre,Mordialloc,-37.990834,145.089748,Fitness / Gymnasium Workouts,,,,,Kingston,Warren Road Mordialloc 3195,,"['Kingston', 'Mordialloc', 'Sports', 'Gymnasium']",,
Fitness is Fun,Parkdale,-37.993904,145.076483,Fitness / Gymnasium Workouts,,,,,Kingston,278 Como Parade Parkdale 3194,,"['Kingston', 'Parkdale', 'Sports', 'Gymnasium']",,
Goodlife Health Club Chelsea Heights,Chelsea Heights,-38.033153000000006,145.134297,Fitness / Gymnasium Workouts,,,,,Kingston,93 Wells Road Chelsea Heights 3196,,"['Kingston', 'Chelsea Heights', 'Sports', 'Gymnasium']",,
Kennedy's Health and Fitness,Chelsea Heights,-38.042087,145.13978600000002,Fitness / Gymnasium Workouts,,,,,Kingston,4/227 Wells Road Chelsea Heights 3196,,"['Kingston', 'Chelsea Heights', 'Sports', 'Gymnasium']",,
Kimekai MMA,Chelsea Heights,-38.042056,145.139181,Fitness / Gymnasium Workouts,,,,,Kingston,227 Wells Road Chelsea Heights 3172,,"['Kingston', 'Chelsea Heights', 'Sports', 'Gymnasium']",,
Push It Fitness & Health,Cheltenham,-37.968661,145.0553,Fitness / Gymnasium Workouts,,,,,Kingston,258 Charman Road Cheltenham 3192,,"['Kingston', 'Cheltenham', 'Sports', 'Gymnasium']",,
Self-ish Health Club,Cheltenham,-37.962973,145.056148,Fitness / Gymnasium Workouts,,,,,Kingston,150 Chesterville Road Cheltenham 3192,,"['Kingston', 'Cheltenham', 'Sports', 'Gymnasium']",,
Slendy,Bonbeach,-38.067962,145.122876,Fitness / Gymnasium Workouts,,,,,Kingston,47 Patterson Street Bonbeach 3196,,"['Kingston', 'Bonbeach', 'Sports', 'Gymnasium']",,
Waves Leisure Centre,Highett,-37.950974,145.056989,Fitness / Gymnasium Workouts,,,,,Kingston,111 Chesterville Road Highett 3190,,"['Kingston', 'Highett', 'Sports', 'Gymnasium']",,
Capital Golf Course,Heatherton,-37.967164000000004,145.104052,Golf,1.0,18 Hole Course - Private,,,Kingston,Ross Street Heatherton 3202,,"['Kingston', 'Heatherton', 'Sports', 'Golf']",,
