Municipality,Place Name,Feature Type Code,Feature Type,Longitude,Latitude,Historical Information,Url,Organisation Name
GREATER BENDIGO CITY,BO BAY,BAY,BAY,144.5340277,-36.9205705,,,
HUME CITY,BOARDMAN MEMORIAL RESERVE,PARK,PARK,144.6954167,-37.5818056,,,
CARDINIA SHIRE,BOB BURGESS RESERVE,PARK,PARK,145.3657589,-38.0447082,"Named after Robert James Burgess (1938-1993), who was president of the local school council for 10 years and Captain of the Beaconsfield Rural Fire Brigade for many years.",,
WODONGA CITY,BOB CROSBY PARK,PARK,PARK,146.8376017,-36.1195237,"Bob Crosby built a successful machinery business and was a Wodonga councillor from 1991 to 1994.  He was Wodonga Hospital Board president and active in the Apex, Lions and local golf clubs.",,City of Wodonga
WODONGA CITY,BOB CROSBY PARK,PARK,PARK,146.8376017,-36.1195237,,,
GREATER GEELONG CITY,BOB MORELL RESERVE,PARK,PARK,144.3515533,-38.1637147,,,
SURF COAST SHIRE,BOB PETTIT RECREATION RESERVE,PARK,PARK,144.2940159,-38.3483766,"In 1981 the Bob Pettitt Reserve, named in honour of the long-serving councillor R.W. Pettitt (27 years), was officially opened at Jan Juc on February 26. It was funded by a Government grant of $50,000, a local contribution of $10,000, and $60,000 from Council funds.",,
SURF COAST SHIRE,BOB PETTITT RESERVE,PARK,PARK,144.2940159,-38.3483766,"In 1981 the Bob Pettitt Reserve, named in honour of the long-serving councillor R.W. Pettitt (27 years), was officially opened at Jan Juc on February 26. It was funded by a Government grant of $50,000, a local contribution of $10,000, and $60,000 from Council funds.",,
CASEY CITY,BOBBY HRYCKOW RESERVE,PARK,PARK,145.3396208,-38.0108901,,,
EAST GIPPSLAND SHIRE,BOBS BAY,BAY,BAY,148.9820364,-37.7536366,,,
MURRINDINDI SHIRE,BOBUCK RIDGE CAMPING AREA,CAGR,CAMP GROUND,146.0370833,-37.5120833,,,
SOUTHERN GRAMPIANS SHIRE,BOCHARA,PRSH,PARISH,141.9209722,-37.6845833,'Called after Bochara pastoral station or run.',,
SOUTHERN GRAMPIANS SHIRE,BOCHARA,PRSH,PARISH,141.9209722,-37.6845833,"Traditional Name: Bugara Explanation: river Discussion on Current Name: n derives from generic n for river, see Wannon and Glenelg Rivers,  JH Jackson 1869 in Smyth 1878.",http://www.vaclang.org.au,
MOONEE VALLEY CITY,BOEING RESERVE,PARK,PARK,144.9024428,-37.7151447,,,
GREATER GEELONG CITY,BOER WAR MEMORIAL PARK,PARK,PARK,144.3518652,-38.1542083,Name proposed by the Rotary Club of Highton/Kardinia.  The park includes a Boer War Memorial with inscriptions recording four Geelong soldiers who died in the conflict.,,Greater Geelong City Council
SWAN HILL RURAL CITY,BOGA,PRSH,PARISH,143.7031944,-35.4934722,Traditional Name: Yandye-mile Explanation: mili = Murray River Discussion on Current Name: Stone in Hercus 1992: 69.,http://www.vaclang.org.au,
SWAN HILL RURAL CITY,BOGA,PRSH,PARISH,143.7031944,-35.4934722,"Traditional Name: Turnem Explanation: 'deepest basin of lake' Discussion on Current Name: deepest basin of lake, Hercus 1992: 56,  Stone in Hercus 1992: 56.",http://www.vaclang.org.au,
SWAN HILL RURAL CITY,BOGA,PRSH,PARISH,143.7031944,-35.4934722,Traditional Name: Cooangetch Explanation: N/A Discussion on Current Name: Stone 1911: 435.,http://www.vaclang.org.au,
SWAN HILL RURAL CITY,BOGA,PRSH,PARISH,143.7031944,-35.4934722,Traditional Name: Nerrim-nerrim Explanation: 'steep bank' Discussion on Current Name: Stone 1911: 435.,http://www.vaclang.org.au,
SWAN HILL RURAL CITY,BOGA,PRSH,PARISH,143.7031944,-35.4934722,Traditional Name: Geranyuk Explanation: 'when leaves and branches fell' Discussion on Current Name: Stone 1911: 345.,http://www.vaclang.org.au,
SWAN HILL RURAL CITY,BOGA,PRSH,PARISH,143.7031944,-35.4934722,"Traditional Name: Nyuranggal Explanation: N/A Discussion on Current Name: small hill E of Long Lake,  Stone in Hercus 1992: 43.",http://www.vaclang.org.au,
SWAN HILL RURAL CITY,BOGA,PRSH,PARISH,143.7031944,-35.4934722,Traditional Name: Wharparr Explanation: willow trees Discussion on Current Name: Stone 1911: 436.,http://www.vaclang.org.au,
SWAN HILL RURAL CITY,BOGA,PRSH,PARISH,143.7031944,-35.4934722,"Traditional Name: Thanultarwinang-puletj Explanation: leaning trees Discussion on Current Name: refers to a station,  Stone in Hercus 1992: 54.",http://www.vaclang.org.au,
WEST WIMMERA SHIRE,BOGALARA,PRSH,PARISH,141.2345833,-37.2229167,"Traditional Name: Bogalara Explanation: N/A Discussion on Current Name: Parish, Co of Lowan, parish, Co of Follett,  according to Blake (1977: 43) alternate n for Powers Creek (q.v.),  Blake 1977: 43.",http://www.vaclang.org.au,
WELLINGTON SHIRE,BOGGY BIGHT,BAY,BAY,146.6320833,-38.6951389,,,
EAST GIPPSLAND SHIRE,BOGGY CREEK,NBHD,NEIGHBOURHOOD,147.5490278,-37.6770833,,,
EAST GIPPSLAND SHIRE,BOGONG NATIONAL PARK,PARK,PARK,147.3490278,-36.86375,,,
TOWONG SHIRE,BOGONG NORTH,PRSH,PARISH,147.4231944,-36.6876389,,,
EAST GIPPSLAND SHIRE,BOGONG SOUTH,PRSH,PARISH,147.4068056,-36.7654167,,,
STRATHBOGIE SHIRE,BOHO,PRSH,PARISH,145.7909722,-36.6984722,,,
MILDURA RURAL CITY,BOICH LAKE,LAKE,LAKE,142.38875,-34.7556944,,,
BULOKE SHIRE,BOIGBEAT,PRSH,PARISH,142.9434722,-35.5665278,"Traditional Name: Boigbeal Explanation: beal = red gum Discussion on Current Name: 'The only clump of gum trees for many miles' (Tyrril Run map 1848),  Tyrril Run map 1848.",http://www.vaclang.org.au,
WEST WIMMERA SHIRE,BOIKERBERT,PRSH,PARISH,141.0293056,-36.9634722,,,
MILDURA RURAL CITY,BOINKA,PRSH,PARISH,141.6018056,-35.1651389,"Traditional Name: Boinka Explanation: N/A Discussion on Current Name: locality on Mallee Hwy N of Wyperfeld National Park,  Massola 1968: 11.",http://www.vaclang.org.au,
MILDURA RURAL CITY,BOINKA,PRSH,PARISH,141.6018056,-35.1651389,Traditional meaning: 'Flat black beetle',,
WELLINGTON SHIRE,BOISDALE RECREATION RESERVE,PARK,PARK,146.9897767,-37.8857806,,,
ALPINE SHIRE,BOLAIRA,PRSH,PARISH,146.8234722,-37.1445833,,,
NORTHERN GRAMPIANS SHIRE,BOLANGUM,PRSH,PARISH,142.8865278,-36.8440278,"Traditional Name: Nimmel-mir Explanation: a native with bad eyes (mel) washed them and died Discussion on Current Name: a water-hole nr Bolangum (Spieseke et al in Smyth),  possibly on Avon Ri (Tully 1997),  Spieseke et al in Smyth 1878b: 208,  Tully 1997: 84.",http://www.vaclang.org.au,
NORTHERN GRAMPIANS SHIRE,BOLANGUM,PRSH,PARISH,142.8865278,-36.8440278,"Traditional Name: Bolangum Explanation: two cousins Discussion on Current Name: orig n of Andrew Stuart's stn by Richardson Ri in 1844,  also Mt Bolangum,  Chauncy in Smyth 1878: 205.",http://www.vaclang.org.au,
NORTHERN GRAMPIANS SHIRE,BOLANGUM,PRSH,PARISH,142.8865278,-36.8440278,Traditional Name: Warrogarbin Explanation: wurru = lips Discussion on Current Name: Spieseke et al in Smyth 1878b: 209.,http://www.vaclang.org.au,
PYRENEES SHIRE,BOLERCH,PRSH,PARISH,143.45125,-37.0056944,,,
TOWONG SHIRE,BOLGA,PRSH,PARISH,147.2081944,-36.2601389,Traditional name: Bolga or Bulga.  'Mountain' or 'hill',,
HUME CITY,BOLLINDA,PRSH,PARISH,144.7998611,-37.5323611,,,
MURRINDINDI SHIRE,BOLTE BAY,BAY,BAY,145.8669203,-37.1898494,"Named after Sir Henry Bolte (1908-90), premier of Victoria (1955-73), who opened the completed Eildon Dam on 19 October 1956. Bolte is derived from the Germanic name Baldo (from bald, bold).",,
SWAN HILL RURAL CITY,BOLTON STATE FAUNAL RESERVE,PARK,PARK,142.8770833,-34.9401389,,,
MILDURA RURAL CITY,BOLTONS,NBHD,NEIGHBOURHOOD,140.9684722,-34.9970833,,,
GLENELG SHIRE,BOLWARRA,PRSH,PARISH,141.6404167,-38.2704167,"Traditional Name: Bolwarra Explanation: N/A Discussion on Current Name: farming district nr Portland,  Massola 1968: 11,  Blake 1977: 43.",http://www.vaclang.org.au,
GLENELG SHIRE,BOLWARRA RECREATION RESERVE,PARK,PARK,141.6131566,-38.281233,,,
ARARAT RURAL CITY,BOMJINNA PICNIC AREA,PARK,PARK,142.6129167,-37.2715278,Traditional name: Babdjine. Meaning: big toe.,,
BRIMBANK CITY,BON THOMAS RESERVE,PARK,PARK,144.7620833,-37.7740278,"'The reserve derived this name from the Hon. H. A. Thomas, member of Legislative Council, Melbourne West Province.  A staunch ALP member for 40 years.  Mr. Thomas has lived in the area for quite some considerable time.  He was a councillor and represented the ratepayers in the ward where this reserve is for approximately 16 years, and in that time was Mayor twice.  A well known personality and before entering Parliament conducted a fleet of taxis with Western Suburbs.'",,
EAST GIPPSLAND SHIRE,BONANG,PRSH,PARISH,148.6140278,-37.1606944,"Traditional Name: Bonang Explanation: N/A Discussion on Current Name: rural locality,  river,  Dent Papers 2000: 2.",http://www.vaclang.org.au,
EAST GIPPSLAND SHIRE,BONANG,PRSH,PARISH,148.6140278,-37.1606944,"An Aboriginal word possibly derived from either of the Gunnai words, 'boon' meaning 'knee', or 'boneyong' meaning 'egg'.  Blake (1977, p.43) suggested a derivation from 'bonanga' meaning 'breathing', but this is regarded as unlikely.  [Research by I.D. Clark and D.A. Cahir, University of Ballarat, 2005.]",,Department of Sustainability and Environment
KINGSTON CITY,BONBEACH SPORTS RESERVE,PARK,PARK,145.130524,-38.0613421,,,
MORNINGTON PENINSULA SHIRE,BOND CLOSE RESERVE,PARK,PARK,145.1994265,-38.357103,,,
HOBSONS BAY CITY,BOND RESERVE,PARK,PARK,144.8423611,-37.8270833,,,
EAST GIPPSLAND SHIRE,BONDI,PRSH,PARISH,149.1254167,-37.2076389,"From an Aboriginal word, Boondi, meaning the round of the billow breaking on the coast. ",,
WODONGA CITY,BONEGILLA,PRSH,PARISH,147.0023611,-36.1359722,Traditional Name: Bongella Explanation: small island(s) Discussion on Current Name: Mitchell in Smyth 1878b: 175.,http://www.vaclang.org.au,
WODONGA CITY,BONEGILLA,PRSH,PARISH,147.0023611,-36.1359722,Traditional name: Bongella. 'Small islands',,
MORNINGTON PENINSULA SHIRE,BONEO RECREATION RESERVE,PARK,PARK,144.8870567,-38.4121884,,,
BRIMBANK CITY,BONFIELD RESERVE,PARK,PARK,144.8378828,-37.7235227,,,
CAMPASPE SHIRE,BONN,PRSH,PARISH,144.7059722,-36.4104167,"Traditional Name: Bonn Explanation: ashes Discussion on Current Name: Parish, Co of Rodney, Co of Gunbower,  Chauncy in Smyth 1878b: 204.",http://www.vaclang.org.au,
SOUTH GIPPSLAND SHIRE,BONNIE BRAE,NBHD,NEIGHBOURHOOD,146.2418056,-38.62125,,,
UNKNOWN,BONNIE WATSON BUSHLAND RESERVE,PARK,PARK,,,,,
MILDURA RURAL CITY,BONNONGEE WINERY,WINE,WINERY,142.2001389,-34.2601389,,,
SOUTH GIPPSLAND SHIRE,BONNY BRAE,NBHD,NEIGHBOURHOOD,146.2418056,-38.62125,,,
WANGARATTA RURAL CITY,BONTHERAMBO,PRSH,PARISH,146.3873611,-36.1801389,"Traditional Name: Bunderambo Explanation: N/A Discussion on Current Name: in 1838 Faithfull's stn,  later known as Docker's Plains,  Mollison in Daley 1922: 4.",http://www.vaclang.org.au,
WANGARATTA RURAL CITY,BONTHERAMBO,PRSH,PARISH,146.3873611,-36.1801389,"The name is believed to mean 'treeless plain', and was a grassed treeless plain at the time of European settlement. It was taken up in 1838 by Rev Joseph Docker, who overlanded from New South Wales with his family, a dozen men, 300 head of cattle and some 3000 sheep. The area was surveyed in the 1850s, and opened up for selection and became known as Dockers Plains. There are still descendants of the Docker family and selectors living in the district. ",,
WELLINGTON SHIRE,BOODYARN,PRSH,PARISH,146.7640278,-38.4576389,"Traditional Name: Boodyarn Explanation: bird Discussion on Current Name: Gardner 1992:9,  Dent Papers 2002.",http://www.vaclang.org.au,
CORANGAMITE SHIRE,BOOKAAR SCHOOL WETLAND RESERVE,PARK,PARK,143.1053759,-38.1398024,,,
CORANGAMITE SHIRE,BOOKAAR SCHOOL WETLAND RESERVE,PARK,PARK,143.1053759,-38.1398024,,,
NORTHERN GRAMPIANS SHIRE,BOOLA BOLOKE,PRSH,PARISH,143.2776389,-36.8281944,"Traditional Name: Bula-buluk Explanation: two swamps Discussion on Current Name: district S of St Arnaud,  Tully 1997: 85.",http://www.vaclang.org.au,
LATROBE CITY,BOOLA BOOLA,PRSH,PARISH,146.49125,-38.1143056,"Traditional Name: Boola-boola Explanation: N/A Discussion on Current Name: Parish, Co of Tanjil - also Boole Poole (q.v.),  also Boola (TRIG 38 08 146 28 8121 55 533789,  According to Gardner (1992: 21) Tyers was known as Boola Boola (q.v.) until 1853,  Gardner 1992: 20.",http://www.vaclang.org.au,
BAW BAW SHIRE,BOOLA CAMP,CAGR,CAMP GROUND,146.4368056,-38.0843056,,,
LATROBE CITY,BOOLARRA RECREATION RESERVE,PARK,PARK,146.2765278,-38.3698611,Traditional meaning: 'Twenty',,
EAST GIPPSLAND SHIRE,BOOLE POOLE,PRSH,PARISH,147.7140278,-37.9770833,"Traditional Name: Boul-boul Explanation: island(s) Discussion on Current Name: Ninety Mile Beach, between Shaving Point and Stockyard Hill,  Blake 1977: 44.",http://www.vaclang.org.au,
MILDURA RURAL CITY,BOOLUNGAL,PRSH,PARISH,142.5351389,-34.9306944,Reputedly an Aboriginal word for 'pelican'.,,
MOIRA SHIRE,BOOMAHNOOMOONAH,PRSH,PARISH,146.0773611,-36.1493056,"Traditional Name: Boomahnoomoonah Explanation: N/A Discussion on Current Name: rural district nr Yarrawonga,  Massola 1968: 12.",http://www.vaclang.org.au,
MOIRA SHIRE,BOOMANGONG BEACH,BEAC,BEACH,145.5680556,-35.8340591,,,
SURF COAST SHIRE,BOONAH,PRSH,PARISH,144.0179167,-38.4351389,"Traditional Name: Buno Explanation: tea-tree Discussion on Current Name: locality,  Parish, Co of Polwarth,  Massola 1968: 12,  Blake et al 1998.",http://www.vaclang.org.au,
SOUTHERN GRAMPIANS SHIRE,BOONAHWAH,PRSH,PARISH,142.3379167,-37.7229167,,,
EAST GIPPSLAND SHIRE,BOONDEROOT,PRSH,PARISH,147.8751389,-37.6309722,,,
WELLINGTON SHIRE,BOORAN,PRSH,PARISH,147.4156944,-38.1534722,,,
GLEN EIRA CITY,BOORAN RESERVE,PARK,PARK,145.0385081,-37.8881204,,,
MILDURA RURAL CITY,BOORANGIE,NBHD,NEIGHBOURHOOD,142.4165278,-35.0915278,,,
MILDURA RURAL CITY,BOORANGIE NORTH,NBHD,NEIGHBOURHOOD,142.3831944,-35.0693056,,,
CORANGAMITE SHIRE,BOORCAN RECREATION RESERVE,PARK,PARK,143.0048055,-38.2362749,,,
TOWONG SHIRE,BOORGUNYAH,PRSH,PARISH,147.2751389,-36.6223611,,,
WANGARATTA RURAL CITY,BOORHAMAN,PRSH,PARISH,146.2854167,-36.1545833,,,
MILDURA RURAL CITY,BOORLEE,PRSH,PARISH,141.0404167,-34.4126389,,,
MANSFIELD SHIRE,BOOROLITE,PRSH,PARISH,146.2295833,-37.1798611,"(occasionally Borolite). Parish between the Delatite and Howqua Rivers between Howqua West and Changue* parishes. Locality south-east of Mansfield on Home Station Creek. Aboriginal (Taungurong): Les Blake gives boolite, two, but although the translation is correct, Barry Blake suspects the derivation is wrong. A possible combination might be burru, bush, and bulait, cherry ballart (Exocarpos). For the pastoral run, see Loyola.",,
BULOKE SHIRE,BOORONG,PRSH,PARISH,142.62625,-35.4298611,"Traditional Name: Burunj Explanation: night, darkness Discussion on Current Name: Parish, Co of Karkarooc,  Hercus 1986: 259.",http://www.vaclang.org.au,
MILDURA RURAL CITY,BOORONGIE,NBHD,NEIGHBOURHOOD,142.4165278,-35.0915278,,,
MILDURA RURAL CITY,BOORONGIE,PRSH,PARISH,142.43125,-35.0526389,Reputedly Aboriginal word for trees or quail.,,
MILDURA RURAL CITY,BOORONGIE NORTH,NBHD,NEIGHBOURHOOD,142.3831944,-35.0693056,,,
WEST WIMMERA SHIRE,BOOROOPKI,NBHD,NEIGHBOURHOOD,141.2365278,-36.7729167,,,
WEST WIMMERA SHIRE,BOOROOPKI,PRSH,PARISH,141.1795833,-36.7848611,,,
MOYNE SHIRE,BOORPOOL,PRSH,PARISH,142.4570833,-37.9026389,,,
EAST GIPPSLAND SHIRE,BOORPUK,PRSH,PARISH,148.5809722,-36.9826389,"Traditional Name: Cabandra Explanation: N/A Discussion on Current Name: Parish, Co of Croajingolong,  N of Tubbut,  see also Cabanandra (q.v.),  Blake 1977: 58.",http://www.vaclang.org.au,
LODDON SHIRE,BOORT,PRSH,PARISH,143.74625,-36.07375,"Traditional Name: Burt Explanation: smoke-signal Discussion on Current Name: Godfrey established Boort stn 1846,  township, lake,  Hercus 1986: 281.",http://www.vaclang.org.au,
LODDON SHIRE,BOORT,PRSH,PARISH,143.74625,-36.07375,Traditional meaning: 'Smoke',,
LODDON SHIRE,BOORT EAST,NBHD,NEIGHBOURHOOD,143.8351389,-36.1384722,,,
LODDON SHIRE,BOORT ROTARY PARK,PARK,PARK,143.7253652,-36.1184275,,,
LODDON SHIRE,BOORT WEST,NBHD,NEIGHBOURHOOD,143.6079167,-36.1193056,,,
MOIRA SHIRE,BOOSEY,PRSH,PARISH,145.7845833,-36.0368056,,,
LODDON SHIRE,BOOT MALONE PARK,PARK,PARK,143.7293068,-36.1088524,,,
MOYNE SHIRE,BOOTAHPOOL,PRSH,PARISH,142.1934722,-38.2598611,,,
GREATER DANDENONG CITY,BOOTH RESERVE,PARK,PARK,145.2293056,-37.9854167,,,
SOUTHERN GRAMPIANS SHIRE,BORAMBORAM,PRSH,PARISH,142.2629167,-37.84625,,,
NORTHERN GRAMPIANS SHIRE,BOREANG EAST,PRSH,PARISH,142.4745833,-37.2345833,,,
NORTHERN GRAMPIANS SHIRE,BOREANG PICNIC AREA,PARK,PARK,142.4184722,-37.1748611,"Traditional name: Bareng. Meaning: river. 'Boarang' was recorded by Learmonth (1869 in Smyth, 1878) as a name for the Wanon River. ",,
NORTHERN GRAMPIANS SHIRE,BOREANG WEST,PRSH,PARISH,142.3879167,-37.23125,,,
LODDON SHIRE,BORELLA PARK,PARK,PARK,143.7065506,-36.3562777,,,
MOORABOOL SHIRE,BORHONEYGHURK,PRSH,PARISH,144.0751389,-37.7490278,"Traditional Name: Borhoneyghurk Explanation: N/A Discussion on Current Name: n of pastoral run,  Lands Dept 1865 in Osborn 1973.",http://www.vaclang.org.au,
HEPBURN SHIRE,BORLANDS,NBHD,NEIGHBOURHOOD,144.1206944,-37.3906944,,,
MANSFIELD SHIRE,BORODOMANIN,PRSH,PARISH,145.7951389,-36.9429167,Traditional Name: Borodomanin Explanation: N/A Discussion on Current Name: SG in Smyth 1878b: 196.,http://www.vaclang.org.au,
MANSFIELD SHIRE,BORODOMANIN,PRSH,PARISH,145.7951389,-36.9429167,"Parish; large former pastoral run (32,400 ha) in the Merton area, established 1845 (listed in 1848 by Wells), subdivided 1856 into Borodomanin North and Borodomanin South (both licensed until at least 1885). Aboriginal (presumably Taungurong though Clark & Heydon [M] also suggest Waveroo) name of a swamp (Les Blake). Massola (1968) says that Brankeet (q.v.) was the (Taungurong) name of a swamp on Borodomanin Creek, so Borodomanin might have been an earlier name for Brankeet Creek or Merton Creek if Massola has not misinterpreted Brough Smyth's (1878) ""swamp on Borodomanin"" which probably refers to the pastoral run.",,
NORTHERN GRAMPIANS SHIRE,BOROKA,PRSH,PARISH,142.54375,-37.0831944,,,
NORTHERN GRAMPIANS SHIRE,BOROKA VINEYARD,VINE,VINEYARD,142.5584722,-37.1398611,,,
NORTHERN GRAMPIANS SHIRE,BOROKA WINERY,WINE,WINERY,142.5554167,-37.1379167,,,
KNOX CITY,BORONIA SHOPPING CENTRE,SHCE,SHOPPING CENTRE,145.2875701,-37.8609964,,,
BOROONDARA CITY,BOROONDARA,PRSH,PARISH,145.0676389,-37.8129167,It is thought that Boroondara is an Aboriginal word meaning shady place.,https://www.victorianplaces.com.au/boroondara,
BOROONDARA CITY,BOROONDARA,PRSH,PARISH,145.0676389,-37.8129167,"Traditional Name: Boroondara Explanation: N/A Discussion on Current Name: n associated with City of Kew,  first land sales 1845,  Massola 1968: 12,  Blake 1977: 45.",http://www.vaclang.org.au,
BOROONDARA CITY,BOROONDARA PARK,PARK,PARK,145.0688352,-37.8239054,,,
BOROONDARA CITY,BOROONDARA TENNIS CENTRE,SPFA,SPORT FACILITY,145.078844,-37.777745,,,
BALLARAT CITY,BOROUGH DEPOT RESERVE ,PARK,PARK,143.8340861,-37.5997722,,,
NORTHERN GRAMPIANS SHIRE,BOROUGH HUTS,NBHD,NEIGHBOURHOOD,142.5398611,-37.2248611,,,
CAMPASPE SHIRE,BORPA BEND,PARK,PARK,144.7306944,-36.1118056,,,
CORANGAMITE SHIRE,BORRIYALLOAK,PRSH,PARISH,143.3829167,-37.7543056,Traditional name: Borriyallack.,,
LODDON SHIRE,BORUNG,PRSH,PARISH,143.6656944,-36.3170833,"Traditional Name: Burunj Explanation: night Discussion on Current Name: locality 20 km S of Boort,  Hercus 1986.",http://www.vaclang.org.au,
LODDON SHIRE,BORUNG,PRSH,PARISH,143.6656944,-36.3170833,"Traditional meaning: 'Mallee scrub, broad-leaf Mallee.'",,
LODDON SHIRE,BORUNG,PRSH,PARISH,143.6656944,-36.3170833,"Traditional Name: Burunj Explanation: burunj = night Discussion on Current Name: County,  parish, Co of Gladstone,  former n of Shire of Warracknabeal 1891-1938,  also Borung (q.v.) locality S of Boort,  Massola 1968: 12,  Hercus 1986: 274.",http://www.vaclang.org.au,
BAYSIDE CITY,BOSS JAMES RESERVE,PARK,PARK,145.0217906,-37.9426029,Named in memory of Boss James who was a local identity involved in the formation and running of a number of local community organisations including the Hampton Rovers Football Club.,,
MANSFIELD SHIRE,BOSTOCK COVE,BAY,BAY,146.0032311,-37.0768567,"Ford Inlet, Lake Eildon. Probably named after John Bostock, who managed the Preston pastoral station before buying part of it in about 1914 [Mansfield Hist. Soc.].  Edward Robe Bostock was licensee (1847-48) of the Dueran* pastoral run, but the connexion here is much less likely. The surname comes from Bostock, Cheshire (Old English personal name Bota and stoc, place).",,
BRIMBANK CITY,BOTHWELL GREEN RESERVE,PARK,PARK,144.7565099,-37.7922657,,,
MOIRA SHIRE,BOUCHIERS BEACH,BEAC,BEACH,145.573699,-35.8383148,,,
GREATER SHEPPARTON CITY,BOULEVARD BUSH RESERVE,PARK,PARK,145.3722207,-36.3642587,,,
MILDURA RURAL CITY,BOULKA,NBHD,NEIGHBOURHOOD,142.28875,-35.1354167,"Traditional Name: Boulka Explanation: N/A Discussion on Current Name: farming district nr Ouyen,  Blake 1977: 45.",http://www.vaclang.org.au,
MILDURA RURAL CITY,BOULKA,PRSH,PARISH,142.3306944,-35.15375,"Traditional Name: Boulka Explanation: N/A Discussion on Current Name: farming district nr Ouyen,  Blake 1977: 45.",http://www.vaclang.org.au,
BULOKE SHIRE,BOURKA,PRSH,PARISH,142.7748611,-35.4340278,"Traditional Name: Bourka Explanation: N/A Discussion on Current Name: Parish, Co of Karkarooc,  McLennan 1994: 2,  Blake 1977: 45.",http://www.vaclang.org.au,
MOIRA SHIRE,BOURKES BEACH NO. 1,BEAC,BEACH,145.8348082,-35.976834,,,
MOIRA SHIRE,BOURKES BEACH NO. 2,BEAC,BEACH,145.8275989,-35.9756494,,,
MOIRA SHIRE,BOURKES BEACH NO. 3,BEAC,BEACH,145.8256645,-35.9795024,,,
WELLINGTON SHIRE,BOW-WORRUNG,PRSH,PARISH,147.1431944,-37.8206944,,,
MORELAND CITY,BOWDEN RESERVE,PARK,PARK,144.9788053,-37.7433421,,,
BOROONDARA CITY,BOWEN STREET COMMUNITY CENTRE,COCE,COMMUNITY CENTRE,145.06189,-37.846038,,,
CAMPASPE SHIRE,BOWER BEND,PARK,PARK,144.7740278,-36.1209722,,,
MOIRA SHIRE,BOWEYA,PRSH,PARISH,146.08625,-36.24875,"Traditional Name: Boweya Explanation: N/A Discussion on Current Name: B. North was once called Karrabumet and local SS was known as Almonds,  SG in Smyth 1878b: 196.",http://www.vaclang.org.au,
WANGARATTA RURAL CITY,BOWMAN GAP,NBHD,NEIGHBOURHOOD,146.6606944,-36.4859722,,,
GREATER DANDENONG CITY,BOWMANS REDGUM RESERVE,PARK,PARK,145.1586499,-38.0138821,"Recognises Mr Robert Bowman who donated the land to the then Springvale City Council in 1985.

Robert Bowman has lived in Keysborough for over 77 years and had been operating a farm in the area for approximately 53 years. He is a descendant (great grandson) of George Keys, one of the first settlers and a large landowner in the Keysborough area.",,
WHITEHORSE CITY,BOX HILL CITY RESERVE,PARK,PARK,145.1381944,-37.8140278,"'This name was selected at a meeting of early residents of the locality.  Though being the name of a place in England, it was considered as peculiarly appropriate, because of the large proportion of yellow box trees growing amongst the local timber.'",,
WHITEHORSE CITY,BOX HILL GARDENS,PARK,PARK,145.121998,-37.8148972,"'This name was selected at a meeting of early residents of the locality.  Though being the name of a place in England, it was considered as peculiarly appropriate, because of the large proportion of yellow box trees growing amongst the local timber.'",,
WHITEHORSE CITY,BOX HILL SOUTH NEIGHBOURHOOD HOUSE,COCE,COMMUNITY CENTRE,145.127772,-37.834749,,,
HINDMARSH SHIRE,BOYEO,NBHD,NEIGHBOURHOOD,141.5245833,-36.2815278,"Traditional Name: Boyeo Explanation: N/A Discussion on Current Name: previously known as Boyeo Well,  Blake 1977: 46.",http://www.vaclang.org.au,
ALPINE SHIRE,BOYNTON WINERY,WINE,WINERY,146.8831944,-36.6704167,,,
SOUTH GIPPSLAND SHIRE,BOYS,NBHD,NEIGHBOURHOOD,146.05625,-38.6856944,"Name recalls either surveyor Barry Boys or local land owners Catherine, Frederick and Simon Harcourt Boys.  See also Thomas O'Callaghan, Names of Victorian Railway Stations, 1918, p.30.",,
MANSFIELD SHIRE,BRACK BRIDGE,NBHD,NEIGHBOURHOOD,146.0551389,-37.1670833,,,
MORNINGTON PENINSULA SHIRE,BRACKEN RIDGE BUSHLAND RESERVE,PARK,PARK,144.9560468,-38.3453836,,,
WODONGA CITY,BRADBURY PARK,PARK,PARK,146.903389,-36.1320761,,,
WODONGA CITY,BRADBURY PARK,PARK,PARK,146.903389,-36.1320761,,,
MORELAND CITY,BRADDY RESERVE,PARK,PARK,144.9384722,-37.7629167,'Named after James Charles Leslie Braddy.  Councillor 1943 - 1952 (9 yrs.)  Mayor 1948 - 1949.',,
MOUNT ALEXANDER SHIRE,BRADFORD,PRSH,PARISH,144.0720833,-36.9254167,,,
INDIGO SHIRE,BRADIES HOLE,LAKE,LAKE,146.4630303,-35.9736454,,,
MOORABOOL SHIRE,BRADSHAW,NBHD,NEIGHBOURHOOD,144.1865278,-37.5943056,"Named after Bradshaws Creek, which was named after an early resident of the locality, Joseph Bradshaw.  See also Thomas O'Callaghan, Names of Victorian Railway Stations, 1918, p.31.",,
KINGSTON CITY,BRADSHAW BUSHLAND RESERVE,PARK,PARK,145.0832281,-37.9991527,,,
CORANGAMITE SHIRE,BRADVALE RECREATION RESERVE,PARK,PARK,143.3942396,-37.7918768,,,
CORANGAMITE SHIRE,BRADVALE RECREATION RESERVE,PARK,PARK,143.3942396,-37.7918768,,,
GREATER GEELONG CITY,BRAEMAR COURT RESERVE,PARK,PARK,144.3307903,-38.1584116,,,
KINGSTON CITY,BRAESIDE METROPOLITAN PARK,PARK,PARK,145.1334722,-37.9943056,,,
